<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q765165>	Leonid Brezhnev
<http://www.wikidata.org/entity/Q83331>	Louis de Broglie
<http://www.wikidata.org/entity/Q30178>	Jellyfish
<http://www.wikidata.org/entity/Q6247>	Mantua
<http://www.wikidata.org/entity/Q93128>	William Harvey
<http://www.wikidata.org/entity/Q11270>	Fulgencio Batista
<http://www.wikidata.org/entity/Q193367>	Porvoo
<http://www.wikidata.org/entity/Q210761>	morganatic marriage
<http://www.wikidata.org/entity/Q484255>	Alice in Chains
<http://www.wikidata.org/entity/Q162543>	Mehmed VI
<http://www.wikidata.org/entity/Q207672>	William Wilberforce
<http://www.wikidata.org/entity/Q57154>	Erich Raeder
<http://www.wikidata.org/entity/Q43393>	Robert Boyle
<http://www.wikidata.org/entity/Q209539>	Led Zeppelin II
<http://www.wikidata.org/entity/Q617>	Padua
<http://www.wikidata.org/entity/Q207438>	Led Zeppelin III
<http://www.wikidata.org/entity/Q201940>	Led Zeppelin IV
<http://www.wikidata.org/entity/Q151964>	sugar beet
<http://www.wikidata.org/entity/Q163329>	Canaan
<http://www.wikidata.org/entity/Q192439>	domain of a function
<http://www.wikidata.org/entity/Q172754>	World's Fair
<http://www.wikidata.org/entity/Q183102>	Bugs Bunny
<http://www.wikidata.org/entity/Q622435>	Looney Tunes
<http://www.wikidata.org/entity/Q179575>	Ahura Mazda
<http://www.wikidata.org/entity/Q776>	Utrecht
<http://www.wikidata.org/entity/Q803>	Utrecht
<http://www.wikidata.org/entity/Q122043>	D-fructose (open structure)
<http://www.wikidata.org/entity/Q2766547>	's-Hertogenbosch
<http://www.wikidata.org/entity/Q1768>	Ella Fitzgerald
<http://www.wikidata.org/entity/Q49241>	Lexington
<http://www.wikidata.org/entity/Q129270>	larva
<http://www.wikidata.org/entity/Q243187>	Photios I of Constantinople
<http://www.wikidata.org/entity/Q211382>	high-speed rail
<http://www.wikidata.org/entity/Q130983>	cerebellum
<http://www.wikidata.org/entity/Q7307>	kiss
<http://www.wikidata.org/entity/Q177826>	clergy
<http://www.wikidata.org/entity/Q428691>	computer engineering
<http://www.wikidata.org/entity/Q166861>	Cistercians
<http://www.wikidata.org/entity/Q26777>	Sierra Nevada
<http://www.wikidata.org/entity/Q149999>	differential calculus
<http://www.wikidata.org/entity/Q104358>	Billie Holiday
<http://www.wikidata.org/entity/Q53009>	Bernardo Bertolucci
<http://www.wikidata.org/entity/Q23077>	Lancashire
<http://www.wikidata.org/entity/Q17410>	Zhou Enlai
<http://www.wikidata.org/entity/Q180089>	The Economist
<http://www.wikidata.org/entity/Q2677>	Wilhelm II
<http://www.wikidata.org/entity/Q179788>	Edict of Nantes
<http://www.wikidata.org/entity/Q23400>	Allium sativum
<http://www.wikidata.org/entity/Q215194>	gargoyle
<http://www.wikidata.org/entity/Q715625>	martial law
<http://www.wikidata.org/entity/Q8068>	flood
<http://www.wikidata.org/entity/Q82562>	Anserini
<http://www.wikidata.org/entity/Q193231>	debugger
<http://www.wikidata.org/entity/Q105405>	Cherokee
<http://www.wikidata.org/entity/Q41692>	mule
<http://www.wikidata.org/entity/Q828224>	kilometer
<http://www.wikidata.org/entity/Q187526>	melanin
<http://www.wikidata.org/entity/Q35518>	Akkadian
<http://www.wikidata.org/entity/Q35355>	Sumer
<http://www.wikidata.org/entity/Q104190>	Robert Walpole
<http://www.wikidata.org/entity/Q115148>	Dutchess County
<http://www.wikidata.org/entity/Q76961>	Caroline of Ansbach
<http://www.wikidata.org/entity/Q17042>	Oakland
<http://www.wikidata.org/entity/Q665487>	diocese
<http://www.wikidata.org/entity/Q137814>	James V of Scotland
<http://www.wikidata.org/entity/Q158771>	Pseudotsuga
<http://www.wikidata.org/entity/Q137906>	James IV of Scotland
<http://www.wikidata.org/entity/Q184755>	phytoplankton
<http://www.wikidata.org/entity/Q108408>	Albany County
<http://www.wikidata.org/entity/Q4027534>	sucrose
<http://www.wikidata.org/entity/Q109215>	Orange County
<http://www.wikidata.org/entity/Q178928>	zircon
<http://www.wikidata.org/entity/Q1345>	Philadelphia
<http://www.wikidata.org/entity/Q174077>	flash memory
<http://www.wikidata.org/entity/Q205908>	EEPROM
<http://www.wikidata.org/entity/Q178194>	cystic fibrosis
<http://www.wikidata.org/entity/Q8277>	multiple sclerosis
<http://www.wikidata.org/entity/Q210427>	cerebral palsy
<http://www.wikidata.org/entity/Q43922>	Leo XIII
<http://www.wikidata.org/entity/Q272388>	Scyphozoa
<http://www.wikidata.org/entity/Q149851>	Sequoiadendron giganteum
<http://www.wikidata.org/entity/Q333>	astronomy
<http://www.wikidata.org/entity/Q199769>	laser printer
<http://www.wikidata.org/entity/Q76747>	Matthias Jakob Schleiden
<http://www.wikidata.org/entity/Q142031>	funicular
<http://www.wikidata.org/entity/Q156687>	Pseudotsuga menziesii
<http://www.wikidata.org/entity/Q36395>	Middle English
<http://www.wikidata.org/entity/Q123469>	Sinclair Lewis
<http://www.wikidata.org/entity/Q45393>	piracy
<http://www.wikidata.org/entity/Q42247>	Sully Prudhomme
<http://www.wikidata.org/entity/Q181803>	Star Wars Episode VI: Return of the Jedi
<http://www.wikidata.org/entity/Q4028>	Paul Simon
<http://www.wikidata.org/entity/Q50716>	Paris Métro
<http://www.wikidata.org/entity/Q121655>	Carmen Miranda
<http://www.wikidata.org/entity/Q1644>	Elbe
<http://www.wikidata.org/entity/Q201559>	privateer
<http://www.wikidata.org/entity/Q25653>	ferry
<http://www.wikidata.org/entity/Q51797>	Princess Leia
<http://www.wikidata.org/entity/Q36451>	Māori
<http://www.wikidata.org/entity/Q165713>	Star Wars: Episode I – The Phantom Menace
<http://www.wikidata.org/entity/Q1869874>	insomnia
<http://www.wikidata.org/entity/Q19682>	Severn
<http://www.wikidata.org/entity/Q47632>	Andaman Sea
<http://www.wikidata.org/entity/Q7355>	Yellow River
<http://www.wikidata.org/entity/Q37960>	Yellow Sea
<http://www.wikidata.org/entity/Q11736>	Tianjin
<http://www.wikidata.org/entity/Q501253>	Hai River
<http://www.wikidata.org/entity/Q44032>	Egon Schiele
<http://www.wikidata.org/entity/Q179222>	income tax
<http://www.wikidata.org/entity/Q67841>	Gregory of Tours
<http://www.wikidata.org/entity/Q181765>	Holy Roman Emperor
<http://www.wikidata.org/entity/Q131347>	Oahu
<http://www.wikidata.org/entity/Q81025>	feather
<http://www.wikidata.org/entity/Q1359>	Chelicerata
<http://www.wikidata.org/entity/Q25956>	space station
<http://www.wikidata.org/entity/Q212173>	Roger Ebert
<http://www.wikidata.org/entity/Q178106>	William Carlos Williams
<http://www.wikidata.org/entity/Q93356>	Seamus Heaney
<http://www.wikidata.org/entity/Q1268865>	light rail
<http://www.wikidata.org/entity/Q34384>	swan
<http://www.wikidata.org/entity/Q132659>	Egyptian hieroglyphs
<http://www.wikidata.org/entity/Q196939>	witness
<http://www.wikidata.org/entity/Q181069>	Star Wars Episode II: Attack of the Clones
<http://www.wikidata.org/entity/Q5282>	sulfur dioxide
<http://www.wikidata.org/entity/Q131725>	Joan Baez
<http://www.wikidata.org/entity/Q310065>	John of Scotland
<http://www.wikidata.org/entity/Q4788791>	list of national independence days
<http://www.wikidata.org/entity/Q1289>	Grenoble
<http://www.wikidata.org/entity/Q32566>	computed tomography
<http://www.wikidata.org/entity/Q44160>	Toulon
<http://www.wikidata.org/entity/Q222520>	Battle of Bannockburn
<http://www.wikidata.org/entity/Q166065>	Lelystad
<http://www.wikidata.org/entity/Q4121>	IJsselmeer
<http://www.wikidata.org/entity/Q16389>	Charles K. Kao
<http://www.wikidata.org/entity/Q910408>	Brest
<http://www.wikidata.org/entity/Q150986>	siren
<http://www.wikidata.org/entity/Q110874>	patronymic
<http://www.wikidata.org/entity/Q222344>	cinematographer
<http://www.wikidata.org/entity/Q2773>	Brunswick
<http://www.wikidata.org/entity/Q191069>	paleoclimatology
<http://www.wikidata.org/entity/Q122783>	American black bear
<http://www.wikidata.org/entity/Q1383>	Lake Huron
<http://www.wikidata.org/entity/Q5752>	Peter Kropotkin
<http://www.wikidata.org/entity/Q203174>	thalidomide
<http://www.wikidata.org/entity/Q11421>	magnet
<http://www.wikidata.org/entity/Q204739>	Richmond
<http://www.wikidata.org/entity/Q215346>	Mikael Agricola
<http://www.wikidata.org/entity/Q55004>	Kurt Weill
<http://www.wikidata.org/entity/Q40867>	poison
<http://www.wikidata.org/entity/Q76736>	Charles VII, Holy Roman Emperor
<http://www.wikidata.org/entity/Q459381>	literary theory
<http://www.wikidata.org/entity/Q58854>	literary criticism
<http://www.wikidata.org/entity/Q2191516>	Pholidota
<http://www.wikidata.org/entity/Q314488>	Leonardo Bruni
<http://www.wikidata.org/entity/Q49845>	mail
<http://www.wikidata.org/entity/Q1362>	Islamabad
<http://www.wikidata.org/entity/Q83065>	Leicester
<http://www.wikidata.org/entity/Q52626>	Formentera
<http://www.wikidata.org/entity/Q93351>	Vichy
<http://www.wikidata.org/entity/Q188553>	Batavian Republic
<http://www.wikidata.org/entity/Q472675>	Frederick
<http://www.wikidata.org/entity/Q153232>	Jean le Rond D'Alembert
<http://www.wikidata.org/entity/Q103860>	Julius Nepos
<http://www.wikidata.org/entity/Q152416>	Samizdat
<http://www.wikidata.org/entity/Q50700>	coefficient
<http://www.wikidata.org/entity/Q210932>	airliner
<http://www.wikidata.org/entity/Q23183>	Wiltshire
<http://www.wikidata.org/entity/Q5655>	Chernyakhovsk
<http://www.wikidata.org/entity/Q55834>	Wojciech Jaruzelski
<http://www.wikidata.org/entity/Q2042>	Charles de Gaulle
<http://www.wikidata.org/entity/Q13189>	Prunus persica
<http://www.wikidata.org/entity/Q23485>	Allium cepa
<http://www.wikidata.org/entity/Q188748>	bulb
<http://www.wikidata.org/entity/Q7732>	Louis XVI of France
<http://www.wikidata.org/entity/Q128015>	guillotine
<http://www.wikidata.org/entity/Q133485>	rabbi
<http://www.wikidata.org/entity/Q34804>	Albuquerque
<http://www.wikidata.org/entity/Q3827>	Maluku Islands
<http://www.wikidata.org/entity/Q192185>	Aaron Copland
<http://www.wikidata.org/entity/Q1180>	Jammu and Kashmir
<http://www.wikidata.org/entity/Q132113>	Pontian
<http://www.wikidata.org/entity/Q153364>	White Rose
<http://www.wikidata.org/entity/Q117144>	Miklós Horthy
<http://www.wikidata.org/entity/Q6746>	Citroën
<http://www.wikidata.org/entity/Q41493>	ancient history
<http://www.wikidata.org/entity/Q168247>	famine
<http://www.wikidata.org/entity/Q51525>	Miloš Forman
<http://www.wikidata.org/entity/Q132489>	Amartya Sen
<http://www.wikidata.org/entity/Q238752>	Barbuda
<http://www.wikidata.org/entity/Q13187>	Cocos nucifera
<http://www.wikidata.org/entity/Q476033>	Low Countries
<http://www.wikidata.org/entity/Q192760>	fundamental theorem of algebra
<http://www.wikidata.org/entity/Q214622>	Nikos Kazantzakis
<http://www.wikidata.org/entity/Q104334>	carbonic acid
<http://www.wikidata.org/entity/Q34754>	Somaliland
<http://www.wikidata.org/entity/Q173853>	quaternion
<http://www.wikidata.org/entity/Q310247>	Mohammed Daoud Khan
<http://www.wikidata.org/entity/Q11019>	machine
<http://www.wikidata.org/entity/Q12707>	Great Plains
<http://www.wikidata.org/entity/Q687>	Molière
<http://www.wikidata.org/entity/Q159341>	mold
<http://www.wikidata.org/entity/Q326228>	mycelium
<http://www.wikidata.org/entity/Q177332>	spore
<http://www.wikidata.org/entity/Q200403>	seat belt
<http://www.wikidata.org/entity/Q193129>	hypha
<http://www.wikidata.org/entity/Q185351>	jurist
<http://www.wikidata.org/entity/Q186368>	mutualism
<http://www.wikidata.org/entity/Q440>	Salvador Allende
<http://www.wikidata.org/entity/Q6616>	Poitiers
<http://www.wikidata.org/entity/Q780687>	rights
<http://www.wikidata.org/entity/Q5753>	Samarkand
<http://www.wikidata.org/entity/Q130847>	Battle of Verdun
<http://www.wikidata.org/entity/Q49451>	prog rock
<http://www.wikidata.org/entity/Q37681>	silk
<http://www.wikidata.org/entity/Q2747456>	prince
<http://www.wikidata.org/entity/Q188907>	etiquette
<http://www.wikidata.org/entity/Q45922>	arrow
<http://www.wikidata.org/entity/Q12323>	dam
<http://www.wikidata.org/entity/Q108529>	tera
<http://www.wikidata.org/entity/Q212946>	Brenner Pass
<http://www.wikidata.org/entity/Q69354>	Montreux
<http://www.wikidata.org/entity/Q37447>	postal code
<http://www.wikidata.org/entity/Q295337>	Ollolai
<http://www.wikidata.org/entity/Q3692>	Riyadh
<http://www.wikidata.org/entity/Q152243>	Rhineland
<http://www.wikidata.org/entity/Q2887>	Santiago
<http://www.wikidata.org/entity/Q11365>	grunge
<http://www.wikidata.org/entity/Q43109>	referendum
<http://www.wikidata.org/entity/Q40933>	Eva Perón
<http://www.wikidata.org/entity/Q987>	New Delhi
<http://www.wikidata.org/entity/Q7525>	Sevastopol
<http://www.wikidata.org/entity/Q1280>	Umbria
<http://www.wikidata.org/entity/Q1850>	Phnom Penh
<http://www.wikidata.org/entity/Q3688>	Nouakchott
<http://www.wikidata.org/entity/Q2280>	Minsk
<http://www.wikidata.org/entity/Q3437>	Perugia
<http://www.wikidata.org/entity/Q310900>	Robert Fisk
<http://www.wikidata.org/entity/Q23103>	Shropshire
<http://www.wikidata.org/entity/Q193751>	Montgolfier brothers
<http://www.wikidata.org/entity/Q25820>	Thomas Young
<http://www.wikidata.org/entity/Q14655>	Pelagius
<http://www.wikidata.org/entity/Q37937>	sweet potato
<http://www.wikidata.org/entity/Q485625>	Pet Shop Boys
<http://www.wikidata.org/entity/Q868869>	Harlingen
<http://www.wikidata.org/entity/Q220869>	shoot
<http://www.wikidata.org/entity/Q1236206>	The Powerpuff Girls
<http://www.wikidata.org/entity/Q190394>	Hurrians
<http://www.wikidata.org/entity/Q155087>	Thornton Wilder
<http://www.wikidata.org/entity/Q51056>	Franz Joseph I of Austria
<http://www.wikidata.org/entity/Q191139>	Fabien Barthez
<http://www.wikidata.org/entity/Q463877>	Melinda Gates
<http://www.wikidata.org/entity/Q201783>	moped
<http://www.wikidata.org/entity/Q173395>	Cisco Systems
<http://www.wikidata.org/entity/Q483629>	Marco van Basten
<http://www.wikidata.org/entity/Q164686>	Plantago
<http://www.wikidata.org/entity/Q16483>	toxic diffuse goiter
<http://www.wikidata.org/entity/Q23157>	Somerset
<http://www.wikidata.org/entity/Q102266>	Sidney Altman
<http://www.wikidata.org/entity/Q186386>	map projection
<http://www.wikidata.org/entity/Q201358>	The Flintstones
<http://www.wikidata.org/entity/Q92622>	James Gosling
<http://www.wikidata.org/entity/Q167498>	Meg Ryan
<http://www.wikidata.org/entity/Q166159>	Terry Jones
<http://www.wikidata.org/entity/Q178401>	amphora
<http://www.wikidata.org/entity/Q40561>	sumo
<http://www.wikidata.org/entity/Q37151>	Sun Tzu
<http://www.wikidata.org/entity/Q131162>	Dionysius
<http://www.wikidata.org/entity/Q185161>	Rodinia
<http://www.wikidata.org/entity/Q46750>	Valerian
<http://www.wikidata.org/entity/Q547896>	Chemical Weapons Convention
<http://www.wikidata.org/entity/Q319918>	Daffy Duck
<http://www.wikidata.org/entity/Q177749>	sidewalk
<http://www.wikidata.org/entity/Q180846>	supermarket
<http://www.wikidata.org/entity/Q8353>	paper clip
<http://www.wikidata.org/entity/Q39524>	Gamal Abdel Nasser
<http://www.wikidata.org/entity/Q34105>	Hosni Mubarak
<http://www.wikidata.org/entity/Q190656>	multiculturalism
<http://www.wikidata.org/entity/Q185658>	Indiana Jones and the Last Crusade
<http://www.wikidata.org/entity/Q28823>	textile
<http://www.wikidata.org/entity/Q185928>	Henry Mancini
<http://www.wikidata.org/entity/Q193066>	Breakfast at Tiffany's
<http://www.wikidata.org/entity/Q23239>	Amtrak
<http://www.wikidata.org/entity/Q131159>	Fabian
<http://www.wikidata.org/entity/Q37560>	Vulgar Latin
<http://www.wikidata.org/entity/Q192296>	weaving
<http://www.wikidata.org/entity/Q49007>	yarn
<http://www.wikidata.org/entity/Q3114>	Canberra
<http://www.wikidata.org/entity/Q193223>	proper motion
<http://www.wikidata.org/entity/Q213001>	Farouk of Egypt
<http://www.wikidata.org/entity/Q182343>	Niagara River
<http://www.wikidata.org/entity/Q34221>	Niagara Falls
<http://www.wikidata.org/entity/Q193196>	University College London
<http://www.wikidata.org/entity/Q141495>	mathematical optimization
<http://www.wikidata.org/entity/Q639912>	Istria
<http://www.wikidata.org/entity/Q170774>	miracle
<http://www.wikidata.org/entity/Q210741>	Eric Idle
<http://www.wikidata.org/entity/Q153185>	Joseph Louis Gay-Lussac
<http://www.wikidata.org/entity/Q185682>	French Indochina
<http://www.wikidata.org/entity/Q12277>	arch
<http://www.wikidata.org/entity/Q310373>	Osvaldo Ardiles
<http://www.wikidata.org/entity/Q676>	prose
<http://www.wikidata.org/entity/Q24861>	Albany
<http://www.wikidata.org/entity/Q117191>	Cree
<http://www.wikidata.org/entity/Q207191>	John C. Calhoun
<http://www.wikidata.org/entity/Q42178>	vice president
<http://www.wikidata.org/entity/Q33392>	Algonquian languages
<http://www.wikidata.org/entity/Q93349>	Bessie Smith
<http://www.wikidata.org/entity/Q45936>	Strabo
<http://www.wikidata.org/entity/Q183976>	VHS
<http://www.wikidata.org/entity/Q12192>	pneumonia
<http://www.wikidata.org/entity/Q81513>	Citrus
<http://www.wikidata.org/entity/Q80117>	Caridea
<http://www.wikidata.org/entity/Q42786>	Audrey Hepburn
<http://www.wikidata.org/entity/Q190096>	inversion
<http://www.wikidata.org/entity/Q33390>	Cree
<http://www.wikidata.org/entity/Q742>	Jean Racine
<http://www.wikidata.org/entity/Q192089>	magic square
<http://www.wikidata.org/entity/Q231392>	Kingdom of Asturias
<http://www.wikidata.org/entity/Q705>	Zeeland
<http://www.wikidata.org/entity/Q35765>	Ōsaka
<http://www.wikidata.org/entity/Q221092>	Mauritshuis
<http://www.wikidata.org/entity/Q484876>	chief executive officer
<http://www.wikidata.org/entity/Q190084>	hoax
<http://www.wikidata.org/entity/Q7856>	rallying
<http://www.wikidata.org/entity/Q57123>	Alfred Jodl
<http://www.wikidata.org/entity/Q6520159>	Fourier transform
<http://www.wikidata.org/entity/Q2973>	Darmstadt
<http://www.wikidata.org/entity/Q58697>	Sus scrofa
<http://www.wikidata.org/entity/Q178741>	Great Salt Lake
<http://www.wikidata.org/entity/Q95008>	John Carpenter
<http://www.wikidata.org/entity/Q82238>	Cliff Richard
<http://www.wikidata.org/entity/Q32929>	War of the Austrian Succession
<http://www.wikidata.org/entity/Q128967>	Edward Heath
<http://www.wikidata.org/entity/Q128956>	Harold Wilson
<http://www.wikidata.org/entity/Q43449>	Creative Commons
<http://www.wikidata.org/entity/Q1287>	Jansenism
<http://www.wikidata.org/entity/Q9576>	James Callaghan
