<http://www.yso.fi/onto/yso/p27729>	culture jamming
<http://www.yso.fi/onto/yso/p115345>	Kerala
<http://www.yso.fi/onto/yso/p20688>	influensavirus
<http://www.yso.fi/onto/yso/p144441>	Mulo (Joensuu)
<http://www.yso.fi/onto/yso/p4132>	Urajärvi gård
<http://www.yso.fi/onto/yso/p4424>	boxar
<http://www.yso.fi/onto/yso/p12185>	bioindikatorer
<http://www.yso.fi/onto/yso/p28726>	guider (yrken)
<http://www.yso.fi/onto/yso/p181506>	Inkarila (Kristina)
<http://www.yso.fi/onto/yso/p116431>	Keimiötunturi
<http://www.yso.fi/onto/yso/p110017>	Rukoila (Petäjävesi)
<http://www.yso.fi/onto/yso/p18801>	shetlandsponny
<http://www.yso.fi/onto/yso/p29523>	soldatetik
<http://www.yso.fi/onto/yso/p38251>	steampunk
<http://www.yso.fi/onto/yso/p8747>	reumatiska sjukdomar
<http://www.yso.fi/onto/yso/p94332>	Bottenviken
<http://www.yso.fi/onto/yso/p27298>	mirtazapin
<http://www.yso.fi/onto/yso/p18478>	sylt
<http://www.yso.fi/onto/yso/p9456>	purpuri (dansmusik)
<http://www.yso.fi/onto/yso/p22107>	bärbuskar
<http://www.yso.fi/onto/yso/p94251>	Laihela
<http://www.yso.fi/onto/yso/p1646>	luminiscens
<http://www.yso.fi/onto/yso/p24405>	ammoniumnitrat
<http://www.yso.fi/onto/yso/p18292>	UKK-gångtest
<http://www.yso.fi/onto/yso/p29739>	beskärning
<http://www.yso.fi/onto/yso/p24376>	xylaner
<http://www.yso.fi/onto/yso/p24609>	muser
<http://www.yso.fi/onto/yso/p3001>	regenter
<http://www.yso.fi/onto/yso/p109170>	Jääsjärvi
<http://www.yso.fi/onto/yso/p23345>	statare
<http://www.yso.fi/onto/yso/p25060>	svordomar
<http://www.yso.fi/onto/yso/p9024>	vegetarisk kost
<http://www.yso.fi/onto/yso/p105160>	Kihniö
<http://www.yso.fi/onto/yso/p25384>	sambopar
<http://www.yso.fi/onto/yso/p29077>	bhojpuri
<http://www.yso.fi/onto/yso/p110383>	Juupajärvi
<http://www.yso.fi/onto/yso/p7076>	mentalitet
<http://www.yso.fi/onto/yso/p3096>	strontium
<http://www.yso.fi/onto/yso/p27966>	vilopuls
<http://www.yso.fi/onto/yso/p36232>	fabriksbutiker
<http://www.yso.fi/onto/yso/p20206>	näktergal
<http://www.yso.fi/onto/yso/p7856>	differentialkalkyl
<http://www.yso.fi/onto/yso/p10799>	telebranschen
<http://www.yso.fi/onto/yso/p201971>	Hyvikkälänjoki
<http://www.yso.fi/onto/yso/p27585>	ISIL
<http://www.yso.fi/onto/yso/p9226>	kunskapshantering
<http://www.yso.fi/onto/yso/p3963>	obduktion
<http://www.yso.fi/onto/yso/p27872>	syntetiska färgämnen
<http://www.yso.fi/onto/yso/p106721>	Sibirien
<http://www.yso.fi/onto/yso/p112342>	Haapala (Nykyrka)
<http://www.yso.fi/onto/yso/p178098>	Marttila (Kärkölä)
<http://www.yso.fi/onto/yso/p26264>	hakkors
<http://www.yso.fi/onto/yso/p112122>	Mallusjoki (Orimattila)
<http://www.yso.fi/onto/yso/p187171>	Alastaipale (Etseri)
<http://www.yso.fi/onto/yso/p7405>	ordinsamlingsarbete
<http://www.yso.fi/onto/yso/p6522>	vägbyggnad
<http://www.yso.fi/onto/yso/p23977>	spagettivästerns
<http://www.yso.fi/onto/yso/p1435>	fysiska objekt
<http://www.yso.fi/onto/yso/p4394>	målinriktning
<http://www.yso.fi/onto/yso/p12928>	placering i arbetslivet
<http://www.yso.fi/onto/yso/p25027>	kylkedjor
<http://www.yso.fi/onto/yso/p107>	radiering
<http://www.yso.fi/onto/yso/p24918>	brödraskap
<http://www.yso.fi/onto/yso/p6438>	förenhetligande
<http://www.yso.fi/onto/yso/p197901>	Tamil Nadu
<http://www.yso.fi/onto/yso/p107487>	Hästnässund (Helsingfors)
<http://www.yso.fi/onto/yso/p110684>	Agadir
<http://www.yso.fi/onto/yso/p23976>	tritium
<http://www.yso.fi/onto/yso/p26621>	arkadspel
<http://www.yso.fi/onto/yso/p176321>	Ischia
<http://www.yso.fi/onto/yso/p19595>	kolumnister
<http://www.yso.fi/onto/yso/p22062>	landskapstrupper
<http://www.yso.fi/onto/yso/p24199>	älgkrockar
<http://www.yso.fi/onto/yso/p8111>	memoarer
<http://www.yso.fi/onto/yso/p3220>	eliter
<http://www.yso.fi/onto/yso/p8024>	inredningsplanering
<http://www.yso.fi/onto/yso/p8539>	irisväxter
<http://www.yso.fi/onto/yso/p27877>	no-skådespel
<http://www.yso.fi/onto/yso/p23370>	khmer
<http://www.yso.fi/onto/yso/p17813>	estetisk fostran
<http://www.yso.fi/onto/yso/p26865>	kyttlandsbruk
<http://www.yso.fi/onto/yso/p18338>	majoritetsprincip
<http://www.yso.fi/onto/yso/p16705>	tidig intervention
<http://www.yso.fi/onto/yso/p27716>	ekonomiska händelser
<http://www.yso.fi/onto/yso/p180290>	Äppelö (Hammarland)
<http://www.yso.fi/onto/yso/p23491>	kardiologer
<http://www.yso.fi/onto/yso/p3107>	militärflygplan
<http://www.yso.fi/onto/yso/p7455>	behovsprövning
<http://www.yso.fi/onto/yso/p19260>	självständighetens jubileumsår
<http://www.yso.fi/onto/yso/p12621>	ekonomiska livet
<http://www.yso.fi/onto/yso/p24756>	kolstål
<http://www.yso.fi/onto/yso/p8945>	sprinklerbevattning
<http://www.yso.fi/onto/yso/p5944>	färgämnesindustri
<http://www.yso.fi/onto/yso/p3147>	ytspänning
<http://www.yso.fi/onto/yso/p139906>	Kristianstad
<http://www.yso.fi/onto/yso/p14517>	intern revision
<http://www.yso.fi/onto/yso/p19032>	magnetfält
<http://www.yso.fi/onto/yso/p29583>	medborgarråd
<http://www.yso.fi/onto/yso/p118251>	Riksväg 1
<http://www.yso.fi/onto/yso/p3484>	hat
<http://www.yso.fi/onto/yso/p105825>	Ålands hav
<http://www.yso.fi/onto/yso/p25851>	fredsmäkling
<http://www.yso.fi/onto/yso/p26428>	nyckelord
<http://www.yso.fi/onto/yso/p25405>	våffeltygsbroderi
<http://www.yso.fi/onto/yso/p22984>	Söderskärs naturskyddsområde
<http://www.yso.fi/onto/yso/p24195>	Skördemännen
<http://www.yso.fi/onto/yso/p4638>	lag om borgen och tredjemanspant
<http://www.yso.fi/onto/yso/p4294>	arbetarskydd
<http://www.yso.fi/onto/yso/p186117>	Soidinvaara (Sotkamo)
<http://www.yso.fi/onto/yso/p211778>	Julkula (Kuopio)
<http://www.yso.fi/onto/yso/p19825>	livsmedelsförvaltning
<http://www.yso.fi/onto/yso/p22870>	genomloppstid
<http://www.yso.fi/onto/yso/p14959>	polering
<http://www.yso.fi/onto/yso/p22834>	nätvideor
<http://www.yso.fi/onto/yso/p19785>	bostadsförvaltning
<http://www.yso.fi/onto/yso/p227266>	Halkivaha (Urjala)
<http://www.yso.fi/onto/yso/p139590>	Nuasjärvi (Pello : by)
<http://www.yso.fi/onto/yso/p106997>	Mäntyharjustråten
<http://www.yso.fi/onto/yso/p14134>	diagnos
<http://www.yso.fi/onto/yso/p30113>	kvartetter (ensembler)
<http://www.yso.fi/onto/yso/p110165>	Mätäjärvi (Åbo)
<http://www.yso.fi/onto/yso/p2712>	maratonlöpning
<http://www.yso.fi/onto/yso/p27810>	spåmossor
<http://www.yso.fi/onto/yso/p6640>	videoapparater
<http://www.yso.fi/onto/yso/p18709>	älghundar
<http://www.yso.fi/onto/yso/p5704>	tickor
<http://www.yso.fi/onto/yso/p28948>	brahui
<http://www.yso.fi/onto/yso/p7080>	glasblåsning
<http://www.yso.fi/onto/yso/p109963>	Mississippifloden
<http://www.yso.fi/onto/yso/p14698>	digitalkameror
<http://www.yso.fi/onto/yso/p5220>	högupplösningstelevisioner
<http://www.yso.fi/onto/yso/p196773>	Korpiniemi (Kangasala)
<http://www.yso.fi/onto/yso/p28423>	indirekt anföring
<http://www.yso.fi/onto/yso/p19035>	socialpsykologi
<http://www.yso.fi/onto/yso/p6187>	hembygd
<http://www.yso.fi/onto/yso/p17006>	gasbehållare
<http://www.yso.fi/onto/yso/p14198>	slaget vid Parkuinmäki
<http://www.yso.fi/onto/yso/p11730>	pensionssystem
<http://www.yso.fi/onto/yso/p113323>	Yläneenjoki
<http://www.yso.fi/onto/yso/p25404>	SS-trupper
<http://www.yso.fi/onto/yso/p19860>	hästtränare
<http://www.yso.fi/onto/yso/p10483>	jordskatt
<http://www.yso.fi/onto/yso/p12061>	rocklyrik
<http://www.yso.fi/onto/yso/p2963>	informationsbehov
<http://www.yso.fi/onto/yso/p38083>	orkestermusiker
<http://www.yso.fi/onto/yso/p4230>	utveckling (verksamhet)
<http://www.yso.fi/onto/yso/p37875>	styrelser
<http://www.yso.fi/onto/yso/p2531>	teratogener
<http://www.yso.fi/onto/yso/p25644>	miljökommunikation
<http://www.yso.fi/onto/yso/p3397>	ordningspolis
<http://www.yso.fi/onto/yso/p29438>	Drottningholms slott
<http://www.yso.fi/onto/yso/p218351>	Andersböle (Borgå)
<http://www.yso.fi/onto/yso/p8077>	rätvingar
<http://www.yso.fi/onto/yso/p9708>	smör
<http://www.yso.fi/onto/yso/p109202>	São Tomé och Príncipe
<http://www.yso.fi/onto/yso/p8128>	yi quan
<http://www.yso.fi/onto/yso/p4714>	iakttagande
<http://www.yso.fi/onto/yso/p22380>	coton de tuléar
<http://www.yso.fi/onto/yso/p13740>	helikoptrar
<http://www.yso.fi/onto/yso/p149659>	Karelska näset
<http://www.yso.fi/onto/yso/p4144>	puerperalpsykos
<http://www.yso.fi/onto/yso/p3148>	ytfenomen
<http://www.yso.fi/onto/yso/p112185>	Sundholmen (Helsingfors)
<http://www.yso.fi/onto/yso/p23523>	judisk litteratur
<http://www.yso.fi/onto/yso/p122223>	Vegarus (Suojärvi)
<http://www.yso.fi/onto/yso/p29721>	troké
<http://www.yso.fi/onto/yso/p1553>	Versaillesfreden
<http://www.yso.fi/onto/yso/p6264>	kärnvapenkrig
<http://www.yso.fi/onto/yso/p105991>	Sulkavankylä (Alavo)
<http://www.yso.fi/onto/yso/p25472>	skulpturparker
<http://www.yso.fi/onto/yso/p9886>	hjärt-kärlsjukdomar
<http://www.yso.fi/onto/yso/p27864>	styckemössor
<http://www.yso.fi/onto/yso/p126452>	Lasaretinsaari
<http://www.yso.fi/onto/yso/p21043>	självuttryck
<http://www.yso.fi/onto/yso/p9052>	gruppboende
<http://www.yso.fi/onto/yso/p10865>	vetande
<http://www.yso.fi/onto/yso/p25435>	sindhi
<http://www.yso.fi/onto/yso/p22762>	föreningsaktiva
<http://www.yso.fi/onto/yso/p27253>	librettister
<http://www.yso.fi/onto/yso/p22167>	djurhotell
<http://www.yso.fi/onto/yso/p9933>	låsbräken
<http://www.yso.fi/onto/yso/p113805>	Kytäjä (Hyvinge)
<http://www.yso.fi/onto/yso/p1854>	förförelse
<http://www.yso.fi/onto/yso/p16731>	hjärta
<http://www.yso.fi/onto/yso/p21352>	kvänska
<http://www.yso.fi/onto/yso/p7401>	gymnasiet
<http://www.yso.fi/onto/yso/p14137>	djurläten
<http://www.yso.fi/onto/yso/p38042>	melodramer (kompositioner)
<http://www.yso.fi/onto/yso/p1002>	nunneordnar
<http://www.yso.fi/onto/yso/p106569>	Svetogorsk
<http://www.yso.fi/onto/yso/p21565>	trumslagare
<http://www.yso.fi/onto/yso/p19101>	mjälte
<http://www.yso.fi/onto/yso/p17155>	köpebrev
<http://www.yso.fi/onto/yso/p25760>	fylogeni
<http://www.yso.fi/onto/yso/p6408>	futsal
<http://www.yso.fi/onto/yso/p110196>	Muuratsalo (Muurame)
<http://www.yso.fi/onto/yso/p1606>	utmattningsprov
<http://www.yso.fi/onto/yso/p37955>	antifeminism
<http://www.yso.fi/onto/yso/p25457>	presentationsteknik
<http://www.yso.fi/onto/yso/p6565>	straffprocess
<http://www.yso.fi/onto/yso/p6957>	föräldralösa barn
<http://www.yso.fi/onto/yso/p145045>	Hiidentie
<http://www.yso.fi/onto/yso/p23816>	väljare
<http://www.yso.fi/onto/yso/p4798>	Visual Basic for Applications
<http://www.yso.fi/onto/yso/p9988>	elarbeten
<http://www.yso.fi/onto/yso/p28731>	berättartradition
<http://www.yso.fi/onto/yso/p1563>	komparativ litteraturforskning
<http://www.yso.fi/onto/yso/p27719>	rum i delade lägenheter
<http://www.yso.fi/onto/yso/p5683>	förökning
<http://www.yso.fi/onto/yso/p27318>	budorden
<http://www.yso.fi/onto/yso/p108157>	Petsmo (Korsholm)
<http://www.yso.fi/onto/yso/p108818>	Myllykangas (Alajärvi)
<http://www.yso.fi/onto/yso/p20163>	pankreascancer
<http://www.yso.fi/onto/yso/p7099>	korståg
<http://www.yso.fi/onto/yso/p105733>	Sippola
<http://www.yso.fi/onto/yso/p105336>	Sydasien
<http://www.yso.fi/onto/yso/p14387>	Bibeln
<http://www.yso.fi/onto/yso/p215850>	Siippoo (Vichtis)
<http://www.yso.fi/onto/yso/p4532>	fonetik
<http://www.yso.fi/onto/yso/p108514>	Yli-Vuotto (Ylikiiminki)
<http://www.yso.fi/onto/yso/p4223>	ersättningar
<http://www.yso.fi/onto/yso/p94141>	Hitis
<http://www.yso.fi/onto/yso/p27887>	torsdag
<http://www.yso.fi/onto/yso/p110223>	Tietävälä (Kirvus)
<http://www.yso.fi/onto/yso/p105133>	Valsörarna
<http://www.yso.fi/onto/yso/p1186>	arbetsmarknadspolitik
<http://www.yso.fi/onto/yso/p8100>	bokkonst
<http://www.yso.fi/onto/yso/p28989>	grynost
<http://www.yso.fi/onto/yso/p12867>	internationell socialpolitik
<http://www.yso.fi/onto/yso/p4072>	fosterföräldrar
<http://www.yso.fi/onto/yso/p105807>	Puruvesi
<http://www.yso.fi/onto/yso/p6159>	sällskapsfåglar
<http://www.yso.fi/onto/yso/p266>	självkänsla
<http://www.yso.fi/onto/yso/p27189>	läckage
<http://www.yso.fi/onto/yso/p26799>	handgjort papper
<http://www.yso.fi/onto/yso/p20075>	melatonin
<http://www.yso.fi/onto/yso/p212122>	Haxböle (Vanda)
<http://www.yso.fi/onto/yso/p7715>	skratt
<http://www.yso.fi/onto/yso/p25462>	rapsbagge
<http://www.yso.fi/onto/yso/p24132>	distributionsstationer
<http://www.yso.fi/onto/yso/p626>	döden
<http://www.yso.fi/onto/yso/p21937>	homokultur
<http://www.yso.fi/onto/yso/p9607>	arbetssökande
<http://www.yso.fi/onto/yso/p8929>	handikappolitik
<http://www.yso.fi/onto/yso/p26322>	tagalog
<http://www.yso.fi/onto/yso/p226246>	Lapino
<http://www.yso.fi/onto/yso/p5028>	luftkvalitet
<http://www.yso.fi/onto/yso/p28580>	paddlingsleder
<http://www.yso.fi/onto/yso/p162369>	Riihiö (Kivinebb)
<http://www.yso.fi/onto/yso/p1910>	styrmedel
<http://www.yso.fi/onto/yso/p17701>	affärsgåvor
<http://www.yso.fi/onto/yso/p29508>	produktionsmusik
<http://www.yso.fi/onto/yso/p8278>	evolution
<http://www.yso.fi/onto/yso/p8584>	skolprestationer
<http://www.yso.fi/onto/yso/p890>	bergsbyggnad
<http://www.yso.fi/onto/yso/p28723>	slovensk litteratur
<http://www.yso.fi/onto/yso/p18921>	markbiologi
<http://www.yso.fi/onto/yso/p110432>	Ala-Korkalo (Rovaniemi)
<http://www.yso.fi/onto/yso/p12971>	Gerknäs
<http://www.yso.fi/onto/yso/p183309>	Vaahtola (S:t Johannes)
<http://www.yso.fi/onto/yso/p112671>	Käinby (Vanda)
<http://www.yso.fi/onto/yso/p36471>	troper (litteratur)
<http://www.yso.fi/onto/yso/p26851>	svensk lapphund
<http://www.yso.fi/onto/yso/p9790>	kleptomani
<http://www.yso.fi/onto/yso/p21652>	återgång till arbetet
<http://www.yso.fi/onto/yso/p94224>	Kotka
<http://www.yso.fi/onto/yso/p16824>	Penni
<http://www.yso.fi/onto/yso/p18695>	planläggare
<http://www.yso.fi/onto/yso/p1101>	användning för rekreationsändamål
<http://www.yso.fi/onto/yso/p22068>	odlade svampar
<http://www.yso.fi/onto/yso/p22986>	akita
<http://www.yso.fi/onto/yso/p540>	brevinstitut
<http://www.yso.fi/onto/yso/p12678>	fördomar
<http://www.yso.fi/onto/yso/p422>	mantal
<http://www.yso.fi/onto/yso/p137718>	Kappadokien
<http://www.yso.fi/onto/yso/p18274>	företagarpensioner
<http://www.yso.fi/onto/yso/p18892>	asp (lövträd)
<http://www.yso.fi/onto/yso/p28520>	marxistisk litteraturforskning
<http://www.yso.fi/onto/yso/p4427>	klinisk genetik
<http://www.yso.fi/onto/yso/p11743>	hälsningar
<http://www.yso.fi/onto/yso/p744>	kraftmaskiner
<http://www.yso.fi/onto/yso/p2242>	tjänstebrott
<http://www.yso.fi/onto/yso/p21082>	distribuerade system
<http://www.yso.fi/onto/yso/p24384>	molekylgastronomi
<http://www.yso.fi/onto/yso/p24887>	aorta
<http://www.yso.fi/onto/yso/p10819>	penicillin
<http://www.yso.fi/onto/yso/p2119>	jordförbättringsmedel
<http://www.yso.fi/onto/yso/p148019>	Muulinjärvi
<http://www.yso.fi/onto/yso/p149749>	Vaajasalmi (Rautalampi)
<http://www.yso.fi/onto/yso/p108435>	Mellungsby (Helsingfors)
<http://www.yso.fi/onto/yso/p12568>	handikappvård
<http://www.yso.fi/onto/yso/p14393>	jordstrålning
<http://www.yso.fi/onto/yso/p21278>	djurmat
<http://www.yso.fi/onto/yso/p17412>	krucifix
<http://www.yso.fi/onto/yso/p21689>	psykisk rehabilitering
<http://www.yso.fi/onto/yso/p30168>	tv-regissörer
<http://www.yso.fi/onto/yso/p22440>	maktbalans
<http://www.yso.fi/onto/yso/p1528>	perifyton
<http://www.yso.fi/onto/yso/p17026>	fårskötsel (arbete)
<http://www.yso.fi/onto/yso/p23442>	freden i Teusina
<http://www.yso.fi/onto/yso/p107655>	Louisiana
<http://www.yso.fi/onto/yso/p15863>	oljefält
<http://www.yso.fi/onto/yso/p19003>	catering
<http://www.yso.fi/onto/yso/p7325>	samhällsplanering (staten)
<http://www.yso.fi/onto/yso/p125271>	Bratislava
<http://www.yso.fi/onto/yso/p15394>	neutroner
<http://www.yso.fi/onto/yso/p132678>	Hinnerjoki (Eura)
<http://www.yso.fi/onto/yso/p8651>	stenmaterial
<http://www.yso.fi/onto/yso/p7964>	kinetisk konst
<http://www.yso.fi/onto/yso/p29614>	företagsvärdering
<http://www.yso.fi/onto/yso/p27282>	karboxylsyror
<http://www.yso.fi/onto/yso/p9961>	vikare
<http://www.yso.fi/onto/yso/p106287>	Korpinen (Pudasjärvi)
<http://www.yso.fi/onto/yso/p8762>	blodförgiftning
<http://www.yso.fi/onto/yso/p16450>	ghetton
<http://www.yso.fi/onto/yso/p194886>	Hotokka (Mola)
<http://www.yso.fi/onto/yso/p19853>	granbarkborre
<http://www.yso.fi/onto/yso/p207560>	Martimoaapa
<http://www.yso.fi/onto/yso/p25294>	Clojure
<http://www.yso.fi/onto/yso/p36957>	litteratur på teckenspråk
<http://www.yso.fi/onto/yso/p18795>	hjärtinsufficiens
<http://www.yso.fi/onto/yso/p26324>	nilotiska språk
<http://www.yso.fi/onto/yso/p711>	biomaterial
<http://www.yso.fi/onto/yso/p23842>	hårbotten
<http://www.yso.fi/onto/yso/p14121>	båtsnickare
<http://www.yso.fi/onto/yso/p21554>	amiraler
<http://www.yso.fi/onto/yso/p3825>	landshövdingar
<http://www.yso.fi/onto/yso/p21357>	PCXMC
<http://www.yso.fi/onto/yso/p5313>	pyroteknik
<http://www.yso.fi/onto/yso/p23283>	Sphinx
<http://www.yso.fi/onto/yso/p22016>	kulturellt kapital
<http://www.yso.fi/onto/yso/p147119>	Pyykösjärvi (Uleåborg)
<http://www.yso.fi/onto/yso/p9787>	infraröd teknik
<http://www.yso.fi/onto/yso/p188433>	Piikkilänkylä (Storå)
<http://www.yso.fi/onto/yso/p116443>	Kilimanjaro
<http://www.yso.fi/onto/yso/p23514>	utsända arbetare
<http://www.yso.fi/onto/yso/p14034>	setukeser
<http://www.yso.fi/onto/yso/p4902>	storlek
<http://www.yso.fi/onto/yso/p3154>	vintersömn
<http://www.yso.fi/onto/yso/p4359>	växtsteroler
<http://www.yso.fi/onto/yso/p8392>	drogkultur
<http://www.yso.fi/onto/yso/p11539>	överarmar
<http://www.yso.fi/onto/yso/p8943>	telematik
<http://www.yso.fi/onto/yso/p4671>	omskärelse
<http://www.yso.fi/onto/yso/p18340>	koltrast
<http://www.yso.fi/onto/yso/p20122>	fotomodeller
<http://www.yso.fi/onto/yso/p12175>	allkonstverk
<http://www.yso.fi/onto/yso/p28341>	västeuropeisk identitet
<http://www.yso.fi/onto/yso/p6588>	numeriska metoder
<http://www.yso.fi/onto/yso/p21355>	rabies (virussjukdomar)
<http://www.yso.fi/onto/yso/p10099>	tillväxtrubbningar
<http://www.yso.fi/onto/yso/p158121>	Pitkäranta
<http://www.yso.fi/onto/yso/p106711>	Rukatunturi
<http://www.yso.fi/onto/yso/p16949>	klorpropanol
<http://www.yso.fi/onto/yso/p5568>	diagram
<http://www.yso.fi/onto/yso/p112655>	Nuhkola (Lammi)
<http://www.yso.fi/onto/yso/p106266>	Toivala (Kuopio)
<http://www.yso.fi/onto/yso/p211870>	Dourodalen
<http://www.yso.fi/onto/yso/p11197>	variationskalkyl
<http://www.yso.fi/onto/yso/p10071>	slalom
<http://www.yso.fi/onto/yso/p115079>	Hatanpää (Tammerfors)
<http://www.yso.fi/onto/yso/p23241>	dybladsväxter
<http://www.yso.fi/onto/yso/p6628>	luftkonditionering
<http://www.yso.fi/onto/yso/p15980>	Rokua nationalpark
<http://www.yso.fi/onto/yso/p24183>	chefsegenskaper
<http://www.yso.fi/onto/yso/p28528>	Maxwells ekvationer
<http://www.yso.fi/onto/yso/p105191>	Nyland (Pyhäjärvi)
<http://www.yso.fi/onto/yso/p3778>	gjuterier
<http://www.yso.fi/onto/yso/p4195>	planerare
<http://www.yso.fi/onto/yso/p138852>	Norra Lapplands region
<http://www.yso.fi/onto/yso/p182201>	Lentävänniemi (Tammerfors)
<http://www.yso.fi/onto/yso/p28141>	haptiser
<http://www.yso.fi/onto/yso/p108289>	Övermark
<http://www.yso.fi/onto/yso/p164859>	Saarento (Valkeala)
<http://www.yso.fi/onto/yso/p7424>	konventionella vapen
<http://www.yso.fi/onto/yso/p4147>	gröt (maträtter)
<http://www.yso.fi/onto/yso/p6026>	förutsättningar
<http://www.yso.fi/onto/yso/p20186>	videoband
<http://www.yso.fi/onto/yso/p119201>	Vaania (Hollola)
<http://www.yso.fi/onto/yso/p152584>	Neulaniemi (Kuopio)
<http://www.yso.fi/onto/yso/p26751>	Sandbergin talo
<http://www.yso.fi/onto/yso/p7532>	hälsokunskap
<http://www.yso.fi/onto/yso/p11224>	stratosfären
<http://www.yso.fi/onto/yso/p6579>	trädgårdsprodukter
<http://www.yso.fi/onto/yso/p597>	magnetiska egenskaper
<http://www.yso.fi/onto/yso/p13011>	resekostnader
<http://www.yso.fi/onto/yso/p2282>	andrologi
<http://www.yso.fi/onto/yso/p5918>	problembaserat lärande
<http://www.yso.fi/onto/yso/p15655>	insjölax
<http://www.yso.fi/onto/yso/p27873>	akrostikon
<http://www.yso.fi/onto/yso/p13206>	partipolitik
<http://www.yso.fi/onto/yso/p212093>	Godby (Finström)
<http://www.yso.fi/onto/yso/p19919>	historisk semantik
<http://www.yso.fi/onto/yso/p24907>	förbehåll
<http://www.yso.fi/onto/yso/p19745>	gummiindustri
<http://www.yso.fi/onto/yso/p20228>	neon
<http://www.yso.fi/onto/yso/p14195>	nyhetsmeddelanden
<http://www.yso.fi/onto/yso/p4779>	geografiska koordinater
<http://www.yso.fi/onto/yso/p2123>	utveckling (process)
<http://www.yso.fi/onto/yso/p11220>	samordnad undervisning
<http://www.yso.fi/onto/yso/p25580>	Järvikylä gård
<http://www.yso.fi/onto/yso/p111693>	Järvensivu (Tammerfors)
<http://www.yso.fi/onto/yso/p26907>	death metal
<http://www.yso.fi/onto/yso/p3801>	kommissioner (organ)
<http://www.yso.fi/onto/yso/p108032>	Suomujoki
<http://www.yso.fi/onto/yso/p27662>	proteinprodukter
<http://www.yso.fi/onto/yso/p27853>	yakuza
<http://www.yso.fi/onto/yso/p27782>	långtradarchaufförer
<http://www.yso.fi/onto/yso/p25529>	albinism
<http://www.yso.fi/onto/yso/p27849>	kilometerskatt
<http://www.yso.fi/onto/yso/p9181>	skräpande
<http://www.yso.fi/onto/yso/p9032>	upplösning (kemi)
<http://www.yso.fi/onto/yso/p13248>	kyrkklockor
<http://www.yso.fi/onto/yso/p1826>	sexualitet
<http://www.yso.fi/onto/yso/p107735>	Tikkala (Korpilahti)
<http://www.yso.fi/onto/yso/p1770>	risning
<http://www.yso.fi/onto/yso/p22320>	araknologi
<http://www.yso.fi/onto/yso/p505818>	Jakobsleden
<http://www.yso.fi/onto/yso/p22910>	preferenser
<http://www.yso.fi/onto/yso/p15112>	tandkliniker
<http://www.yso.fi/onto/yso/p105150>	Äetsä
